Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-05 09:40:00+00:00,1082.0,28.0,0,0.0
2019-10-05 09:45:00+00:00,868.0,100.0,0,0.166666666667273
2019-10-05 09:50:00+00:00,1190.0,28.0,0,0.0
2019-10-05 09:55:00+00:00,56.0,84.0,0,0.0
2019-10-05 10:00:00+00:00,938.0,483.0,0,0.163934426230105
2019-10-05 10:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 10:10:00+00:00,1210.0,1901.0,0,0.166666666665757
2019-10-05 10:15:00+00:00,56.0,28.0,0,0.0
2019-10-05 10:20:00+00:00,56.0,28.0,0,0.163934426230105
2019-10-05 10:25:00+00:00,56.0,28.0,0,0.0
2019-10-05 10:30:00+00:00,56.0,28.0,0,0.0
2019-10-05 10:35:00+00:00,1569.0,2281.0,0,0.163934426228614
2019-10-05 10:40:00+00:00,2339.0,6107.0,0,0.0
2019-10-05 10:45:00+00:00,166.0,276.0,0,0.163934426230105
2019-10-05 10:50:00+00:00,998.0,9317.0,0,0.0
2019-10-05 10:55:00+00:00,56.0,80.0,0,0.0
2019-10-05 11:00:00+00:00,938.0,483.0,0,0.166666666667273
2019-10-05 11:05:00+00:00,568.0,458.0,0,0.0
2019-10-05 11:10:00+00:00,56.0,28.0,0,0.166666666665757
2019-10-05 11:15:00+00:00,220.0,188.0,0,0.0
2019-10-05 11:20:00+00:00,56.0,28.0,0,0.0
2019-10-05 11:25:00+00:00,1051.0,1853.0,0,0.166666666667273
2019-10-05 11:30:00+00:00,56.0,28.0,0,0.0
2019-10-05 11:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 11:40:00+00:00,56.0,28.0,0,0.166666666665757
2019-10-05 11:45:00+00:00,403.0,1653.0,0,0.0
2019-10-05 11:50:00+00:00,650.0,28.0,0,0.169491525424345
2019-10-05 11:55:00+00:00,704.0,84.0,0,0.0
2019-10-05 12:00:00+00:00,1586.0,11937.0,0,0.166666666667273
2019-10-05 12:05:00+00:00,1108.0,1188.0,0,0.0
2019-10-05 12:10:00+00:00,758.0,28.0,0,0.0
2019-10-05 12:15:00+00:00,758.0,296.0,0,0.166666666665757
2019-10-05 12:20:00+00:00,2163.0,2165.0,0,0.0
2019-10-05 12:25:00+00:00,2395.0,2165.0,0,0.166666666667273
2019-10-05 12:30:00+00:00,56.0,28.0,0,0.0
2019-10-05 12:35:00+00:00,568.0,458.0,0,0.0
2019-10-05 12:40:00+00:00,56.0,28.0,0,0.163934426228614
2019-10-05 12:45:00+00:00,326.0,28.0,0,0.0
2019-10-05 12:50:00+00:00,1268.0,8185.0,0,0.163934426230105
2019-10-05 12:55:00+00:00,488.0,28.0,0,0.0
2019-10-05 13:00:00+00:00,938.0,483.0,0,0.0
2019-10-05 13:05:00+00:00,3960.0,5315.0,0,0.166666666667273
2019-10-05 13:10:00+00:00,3596.0,9204.0,0,0.166666666665757
2019-10-05 13:15:00+00:00,2688.0,8157.0,0,0.0
2019-10-05 13:20:00+00:00,2528.0,6285.0,0,0.163934426230105
2019-10-05 13:25:00+00:00,2796.0,8157.0,0,0.0
2019-10-05 13:30:00+00:00,3610.0,2442.0,0,0.166666666665757
2019-10-05 13:35:00+00:00,4016.0,2737.0,0,0.169491525424345
2019-10-05 13:40:00+00:00,1663.0,7326.0,0,0.0
2019-10-05 13:45:00+00:00,2584.0,2536.0,0,0.166666666667273
2019-10-05 13:50:00+00:00,3420.0,9289.0,0,0.0
2019-10-05 13:55:00+00:00,3108.0,5945.0,0,0.163934426228614
2019-10-05 14:00:00+00:00,3916.0,3704.0,0,0.166666666667273
2019-10-05 14:05:00+00:00,2202.0,8157.0,0,0.0
2019-10-05 14:10:00+00:00,1339.0,1995.0,0,0.166666666665757
2019-10-05 14:15:00+00:00,3112.0,2742.0,0,0.0
2019-10-05 14:20:00+00:00,6200.0,4750.0,0,0.166666666667273
2019-10-05 14:25:00+00:00,2258.0,8185.0,0,0.163934426230105
2019-10-05 14:30:00+00:00,3296.0,8157.0,0,0.0
2019-10-05 14:35:00+00:00,3490.0,3767.0,0,0.166666666665757
2019-10-05 14:40:00+00:00,2202.0,8157.0,0,0.0
2019-10-05 14:45:00+00:00,4803.0,4563.0,0,0.166666666667273
2019-10-05 14:50:00+00:00,3300.0,2569.0,0,0.163934426228614
2019-10-05 14:55:00+00:00,3108.0,7025.0,0,0.0
2019-10-05 15:00:00+00:00,3028.0,8584.0,0,0.166666666667273
2019-10-05 15:05:00+00:00,2268.0,7025.0,0,0.0
